,Y,TOP0_CHAMP,TOP0_LVL,TOP0_TOTAL,TOP0_GWR,TOP0_VET,TOP0_RANK,TOP0_HOT,TOP0_KDAG,TOP0_KDA,TOP0_WR,TOP0_NB,TOP0_FILL,JGL0_CHAMP,JGL0_LVL,JGL0_TOTAL,JGL0_GWR,JGL0_VET,JGL0_RANK,JGL0_HOT,JGL0_KDAG,JGL0_KDA,JGL0_WR,JGL0_NB,JGL0_FILL,MID0_CHAMP,MID0_LVL,MID0_TOTAL,MID0_GWR,MID0_VET,MID0_RANK,MID0_HOT,MID0_KDAG,MID0_KDA,MID0_WR,MID0_NB,MID0_FILL,ADC0_CHAMP,ADC0_LVL,ADC0_TOTAL,ADC0_GWR,ADC0_VET,ADC0_RANK,ADC0_HOT,ADC0_KDAG,ADC0_KDA,ADC0_WR,ADC0_NB,ADC0_FILL,SUP0_CHAMP,SUP0_LVL,SUP0_TOTAL,SUP0_GWR,SUP0_VET,SUP0_RANK,SUP0_HOT,SUP0_KDAG,SUP0_KDA,SUP0_WR,SUP0_NB,SUP0_FILL,TOP1_CHAMP,TOP1_LVL,TOP1_TOTAL,TOP1_GWR,TOP1_VET,TOP1_RANK,TOP1_HOT,TOP1_KDAG,TOP1_KDA,TOP1_WR,TOP1_NB,TOP1_FILL,JGL1_CHAMP,JGL1_LVL,JGL1_TOTAL,JGL1_GWR,JGL1_VET,JGL1_RANK,JGL1_HOT,JGL1_KDAG,JGL1_KDA,JGL1_WR,JGL1_NB,JGL1_FILL,MID1_CHAMP,MID1_LVL,MID1_TOTAL,MID1_GWR,MID1_VET,MID1_RANK,MID1_HOT,MID1_KDAG,MID1_KDA,MID1_WR,MID1_NB,MID1_FILL,ADC1_CHAMP,ADC1_LVL,ADC1_TOTAL,ADC1_GWR,ADC1_VET,ADC1_RANK,ADC1_HOT,ADC1_KDAG,ADC1_KDA,ADC1_WR,ADC1_NB,ADC1_FILL,SUP1_CHAMP,SUP1_LVL,SUP1_TOTAL,SUP1_GWR,SUP1_VET,SUP1_RANK,SUP1_HOT,SUP1_KDAG,SUP1_KDA,SUP1_WR,SUP1_NB,SUP1_FILL,TOP0_VS,TOP1_VS,JGL0_VS,JGL1_VS,MID0_VS,MID1_VS,ADC0_VS,ADC1_VS,SUP0_VS,SUP1_VS,TOP0_MAS,TOP1_MAS,JGL0_MAS,JGL1_MAS,MID0_MAS,MID1_MAS,ADC0_MAS,ADC1_MAS,SUP0_MAS,SUP1_MAS,TOP0_WCH,TOP0_LCH,TOP0_TOTCH,TOP0_WRCH,JGL0_WCH,JGL0_LCH,JGL0_TOTCH,JGL0_WRCH,MID0_WCH,MID0_LCH,MID0_TOTCH,MID0_WRCH,ADC0_WCH,ADC0_LCH,ADC0_TOTCH,ADC0_WRCH,SUP0_WCH,SUP0_LCH,SUP0_TOTCH,SUP0_WRCH,TOP1_WCH,TOP1_LCH,TOP1_TOTCH,TOP1_WRCH,JGL1_WCH,JGL1_LCH,JGL1_TOTCH,JGL1_WRCH,MID1_WCH,MID1_LCH,MID1_TOTCH,MID1_WRCH,ADC1_WCH,ADC1_LCH,ADC1_TOTCH,ADC1_WRCH,SUP1_WCH,SUP1_LCH,SUP1_TOTCH,SUP1_WRCH
EUW1_6140228604,False,KSante,481,237,0.5063291139240507,False,1800,False,1.8620689655172415,3.6666666666666665,1.0,1,False,Udyr,136,309,0.49838187702265374,False,1364,False,2.0526315789473686,2.310344827586207,0.5,4,False,Vex,287,514,0.48443579766536965,False,1275,False,1.6341463414634145,0.0,0.5,0,True,Kaisa,120,1110,0.5009009009009009,False,1617,False,2.3703703703703702,0.0,0.5,0,False,Soraka,278,485,0.4824742268041237,False,1660,False,2.1052631578947367,0.0,0.5,0,True,Shen,243,100,0.52,False,1569,False,3.3636363636363633,3.3636363636363633,0.4,5,False,Nocturne,237,606,0.4966996699669967,False,1360,False,2.425,3.0,0.3333333333333333,3,False,Zoe,715,204,0.5392156862745098,False,1601,True,5.076923076923077,6.5,1.0,4,False,Jhin,37,88,0.5340909090909091,False,1620,False,1.5,0.0,0.5,0,True,Karma,201,171,0.543859649122807,False,1600,False,4.933333333333334,0.0,0.5,0,False,0.0,0.0,0.3999999999999986,-0.3999999999999986,1.2000000000000028,-1.2000000000000028,0.5,-0.5,0.6000000000000014,-0.6000000000000014,975,376840,57974,91678,12422,772276,51215,3226,26030,127312,1.0,0.0,1.0,1.0,21.0,12.0,33.0,0.6363636363636364,3.0,1.0,4.0,0.75,39.0,43.0,82.0,0.47560975609756095,10.0,4.0,14.0,0.7142857142857143,61.0,56.0,117.0,0.5213675213675214,84.0,87.0,171.0,0.49122807017543857,70.0,46.0,116.0,0.603448275862069,2.0,5.0,7.0,0.2857142857142857,30.0,19.0,49.0,0.6122448979591837
EUW1_6141546191,False,Sett,323,27,0.4074074074074074,False,1271,False,2.192307692307692,2.55,1.0,4,False,Hecarim,159,1039,0.5120307988450433,False,1841,False,3.3157894736842106,0.0,0.5,0,False,Sylas,410,799,0.4806007509386733,False,1863,False,3.5882352941176467,1.2857142857142858,0.0,1,True,Caitlyn,545,424,0.5070754716981132,False,1814,False,3.8518518518518516,8.5,1.0,1,False,Lux,672,1162,0.4991394148020654,False,1755,False,1.787878787878788,4.0,0.5,2,True,KSante,491,1111,0.5067506750675067,False,1822,False,2.428571428571429,2.0,0.25,4,False,Evelynn,421,406,0.5073891625615764,False,1828,False,2.8636363636363638,3.111111111111111,0.5,2,False,Zed,384,1493,0.49497655726724715,False,1946,False,1.6333333333333335,2.0,0.0,1,False,Jhin,399,553,0.5063291139240507,False,1837,False,2.588235294117647,2.588235294117647,0.4,5,False,Xerath,137,216,0.5601851851851852,False,1825,False,1.5348837209302326,0.0,0.5,0,True,0.0,0.0,-0.7000000000000028,0.7000000000000028,0.6000000000000014,-0.6000000000000014,-1.7000000000000028,1.7000000000000028,-1.2000000000000028,1.2000000000000028,91624,47938,26801,152109,56374,82107,148019,338051,180514,4773,49.0,41.0,90.0,0.5444444444444444,23.0,22.0,45.0,0.5111111111111111,55.0,50.0,105.0,0.5238095238095238,17.0,15.0,32.0,0.53125,20.0,16.0,36.0,0.5555555555555556,43.0,48.0,91.0,0.4725274725274725,11.0,9.0,20.0,0.5283018867924528,12.0,10.0,22.0,0.5240569263955385,100.0,80.0,180.0,0.5555555555555556,0.0,2.0,2.0,0.0
EUW1_6140416681,False,Akali,342,22,0.5,False,1122,False,4.2,0.0,0.5,0,True,Amumu,313,36,0.4444444444444444,False,1281,False,2.882352941176471,0.0,0.5,0,True,Yasuo,703,204,0.4852941176470588,False,1600,False,1.8787878787878787,0.0,0.5,0,True,Samira,418,32,0.4375,False,825,False,1.9629629629629628,0.0,0.5,0,True,Malphite,486,169,0.47928994082840237,False,1231,False,4.6000000000000005,0.0,0.5,0,True,Singed,473,454,0.486784140969163,False,1601,False,2.1219512195121952,0.8333333333333334,0.0,1,True,Rengar,195,252,0.48412698412698413,False,1200,False,2.290322580645161,0.0,0.5,0,False,Anivia,235,272,0.5110294117647058,False,1744,False,3.291666666666667,2.0,0.0,2,False,Seraphine,336,470,0.502127659574468,False,1122,False,1.4749999999999999,0.0,0.5,0,True,Senna,256,514,0.5408560311284046,False,1234,False,2.6551724137931036,0.0,0.5,0,True,-6.100000000000001,6.100000000000001,1.0,-1.0,-2.3999999999999986,2.3999999999999986,1.3999999999999986,-1.3999999999999986,0.20000000000000284,-0.20000000000000284,176711,70720,92519,530580,165783,23839,41464,0,73508,114124,12.0,10.0,22.0,0.525949975949976,0.0,0.0,0.0,0.5,13.0,11.0,24.0,0.5294117647058824,0.0,0.0,0.0,0.5,12.0,11.0,22.0,0.5263157894736842,7.0,5.0,12.0,0.5833333333333334,96.0,90.0,186.0,0.5161290322580645,0.0,3.0,3.0,0.0,63.0,60.0,123.0,0.5121951219512195,0.0,1.0,1.0,0.0
EUW1_6139592219,False,Warwick,42,68,0.5441176470588235,False,1530,False,1.4411764705882355,1.2941176470588236,0.5,2,False,Graves,42,69,0.5507246376811594,False,1561,False,3.130434782608696,0.0,0.5,0,False,Katarina,406,387,0.5012919896640827,False,1700,False,1.5,1.4230769230769234,0.0,3,False,MissFortune,56,310,0.5258064516129032,False,1751,False,1.4,0.0,0.5,0,False,Senna,78,254,0.49606299212598426,False,1660,False,1.8285714285714287,0.0,0.5,0,True,Sett,149,128,0.5546875,False,1753,False,0.8974358974358975,1.1379310344827587,0.25,4,False,Udyr,67,70,0.5857142857142857,False,1806,False,2.18421052631579,1.4444444444444444,1.0,2,False,Lissandra,418,813,0.4907749077490775,False,1734,False,2.121212121212121,2.8666666666666667,0.5,2,False,Caitlyn,351,778,0.4974293059125964,False,1663,False,1.65,1.588235294117647,0.5,4,False,Karma,177,229,0.5938864628820961,False,1816,False,3.666666666666666,11.0,1.0,1,True,-0.6000000000000014,0.6000000000000014,-1.8999999999999986,1.8999999999999986,0.5,-0.5,1.6000000000000014,-1.6000000000000014,0.5,-0.5,6799,95410,4331,33044,1034256,1326525,19391,193705,94078,5675,6.0,4.0,10.0,0.6,4.0,3.0,7.0,0.5714285714285714,153.0,103.0,256.0,0.59765625,16.0,14.0,30.0,0.5333333333333333,58.0,51.0,109.0,0.5321100917431193,18.0,19.0,37.0,0.4864864864864865,13.0,7.0,20.0,0.65,206.0,203.0,409.0,0.5036674816625917,34.0,41.0,75.0,0.4533333333333333,3.0,0.0,3.0,1.0
EUW1_6045620377,True,Aatrox,307,215,0.5116279069767442,False,1600,False,3.3888888888888884,0.0,0.5,0,True,Evelynn,679,633,0.5244865718799369,False,2001,False,2.6363636363636362,0.0,0.5,0,True,Taliyah,687,722,0.5166204986149584,False,2030,False,1.25,0.0,0.5,0,True,Caitlyn,441,620,0.5064516129032258,False,1615,False,4.3076923076923075,10.0,1.0,1,True,Yuumi,160,1018,0.4793713163064833,False,1260,False,1.21875,0.0,0.5,0,True,Irelia,705,737,0.4993215739484396,False,1779,False,4.214285714285714,0.0,0.5,0,True,Skarner,552,218,0.481651376146789,True,1600,False,2.292682926829268,0.0,0.5,0,False,Rumble,225,1100,0.52,False,1939,False,2.761904761904762,0.0,0.5,0,False,Ezreal,68,358,0.4860335195530726,False,1611,False,1.9512195121951221,0.0,0.5,0,True,Ashe,558,191,0.4712041884816754,False,1730,False,1.911764705882353,0.0,0.5,0,False,-1.8999999999999986,1.8999999999999986,-2.6000000000000014,2.6000000000000014,0.7000000000000028,-0.7000000000000028,0.8999999999999986,-0.8999999999999986,-5.799999999999997,5.799999999999997,15788,284236,1115182,115189,1052393,16019,67438,15345,213831,171930,0.0,0.0,0.0,0.5,308.0,250.0,558.0,0.5519713261648745,87.0,77.0,164.0,0.5304878048780488,10.0,6.0,16.0,0.625,181.0,183.0,364.0,0.49725274725274726,37.0,26.0,63.0,0.5873015873015873,4.0,4.0,8.0,0.5,2.0,5.0,7.0,0.2857142857142857,8.0,9.0,17.0,0.47058823529411764,5.0,8.0,13.0,0.38461538461538464
EUW1_6135246508,True,Fiora,61,142,0.5633802816901409,False,1660,False,1.352941176470588,0.0,0.5,0,True,Khazix,44,164,0.5121951219512195,False,1700,False,1.434782608695652,0.0,0.5,0,True,Swain,396,521,0.5028790786948176,False,1828,False,2.2195121951219514,0.0,0.5,0,True,Aphelios,176,96,0.7083333333333334,False,1600,False,3.9615384615384617,0.0,0.5,0,True,Renata,41,142,0.5070422535211268,False,1643,False,1.9375000000000002,1.9375000000000002,0.4,5,False,Yasuo,251,819,0.5091575091575091,False,1830,False,1.7567567567567566,0.2857142857142857,0.0,1,True,Elise,519,451,0.49889135254988914,False,1712,False,3.56,6.25,1.0,2,False,Vex,545,846,0.4940898345153664,False,1703,False,2.34375,0.0,0.5,0,True,Draven,90,219,0.5296803652968036,False,2000,False,4.058823529411765,3.2857142857142856,0.0,1,False,Soraka,73,69,0.5072463768115942,False,1572,True,3.5263157894736845,3.5263157894736845,0.8,5,False,0.7999999999999972,-0.7999999999999972,-0.8999999999999986,0.8999999999999986,3.799999999999997,-3.799999999999997,-4.799999999999997,4.799999999999997,-1.0,1.0,1382,125199,41014,1559118,8068,12894,4173,16223,68172,17766,1.0,1.0,2.0,0.5,58.0,32.0,90.0,0.6444444444444445,0.0,1.0,1.0,0.0,1.0,2.0,3.0,0.3333333333333333,12.0,11.0,22.0,0.5263157894736842,11.0,10.0,21.0,0.5238095238095238,139.0,108.0,247.0,0.562753036437247,3.0,7.0,10.0,0.3,4.0,5.0,9.0,0.4444444444444444,11.0,1.0,12.0,0.9166666666666666
EUW1_6139522758,False,Camille,78,588,0.5,False,1844,False,2.0,2.142857142857143,0.0,1,False,Rengar,254,983,0.5005086469989827,False,1725,False,2.235294117647059,3.5384615384615383,1.0,3,False,Ekko,514,907,0.5049614112458655,False,1844,False,1.46875,0.7142857142857143,0.0,1,False,Kaisa,464,378,0.5,False,1775,False,5.538461538461538,9.166666666666666,1.0,3,False,Thresh,390,991,0.5105953582240161,False,1734,False,1.65,0.0,0.5,0,False,KSante,509,579,0.48186528497409326,False,1700,False,1.375,1.3333333333333333,0.0,2,False,Graves,362,241,0.5062240663900415,False,1938,False,2.9473684210526314,4.5,0.3333333333333333,3,False,Fizz,95,129,0.5116279069767442,False,1784,False,4.6875,7.166666666666667,1.0,2,False,Caitlyn,458,1178,0.5,False,1850,False,1.36,0.0,0.5,0,True,Renata,451,829,0.5138721351025332,False,1957,False,2.326530612244898,4.666666666666667,1.0,1,False,0.0,0.0,0.3999999999999986,-0.3999999999999986,-1.5,1.5,0.20000000000000284,-0.20000000000000284,-5.600000000000001,5.600000000000001,67294,9763,1370217,80014,438738,234985,364783,79753,79293,77244,63.0,66.0,129.0,0.4883720930232558,444.0,371.0,815.0,0.5447852760736196,130.0,124.0,254.0,0.5118110236220472,21.0,21.0,42.0,0.5,30.0,26.0,56.0,0.5357142857142857,8.0,6.0,14.0,0.5714285714285714,4.0,5.0,9.0,0.4444444444444444,40.0,30.0,70.0,0.5714285714285714,11.0,17.0,28.0,0.39285714285714285,11.0,9.0,20.0,0.5236051502145923
EUW1_6016231829,True,Shen,232,592,0.49493243243243246,True,1674,False,1.4150943396226416,0.0,0.5,0,True,Shyvana,68,265,0.5358490566037736,False,2019,False,2.9090909090909087,0.0,0.5,0,False,Sylas,78,99,0.5252525252525253,False,1720,False,2.15625,3.3333333333333335,0.0,1,False,Ezreal,521,1497,0.5050100200400801,False,1761,False,1.2115384615384617,0.0,0.5,0,True,Zilean,560,976,0.5081967213114754,False,1615,False,2.325,0.0,0.5,0,False,Irelia,48,179,0.5363128491620112,False,1831,False,1.7307692307692306,0.0,0.5,0,True,Skarner,94,160,0.55625,False,1630,False,1.7142857142857142,0.0,0.5,0,False,Zed,443,692,0.4884393063583815,False,1729,False,1.6944444444444442,0.0,0.5,0,False,Cassiopeia,201,266,0.5451127819548872,False,1729,False,1.215686274509804,1.4,0.5,4,False,Amumu,53,149,0.5570469798657718,False,1975,False,4.529411764705882,0.0,0.5,0,False,2.799999999999997,-2.799999999999997,3.0,-3.0,0.6000000000000014,-0.6000000000000014,-3.1000000000000014,3.1000000000000014,-0.7999999999999972,0.7999999999999972,112564,15523,18207,3106,15088,611177,231323,409119,22656,4613,5.0,7.0,12.0,0.4166666666666667,15.0,12.0,27.0,0.5555555555555556,5.0,8.0,13.0,0.38461538461538464,70.0,70.0,140.0,0.5,8.0,7.0,15.0,0.5333333333333333,8.0,5.0,13.0,0.6153846153846154,2.0,0.0,2.0,1.0,35.0,35.0,70.0,0.5,128.0,92.0,220.0,0.5818181818181818,0.0,2.0,2.0,0.0
EUW1_6121182130,False,Ornn,265,192,0.5208333333333334,False,1705,True,3.733333333333333,3.0,0.0,1,False,Belveth,230,288,0.53125,False,1700,False,1.236842105263158,1.6666666666666667,0.0,1,False,Zed,176,344,0.5552325581395349,False,1713,False,1.0294117647058825,1.7142857142857142,0.0,2,False,Zeri,81,256,0.49609375,False,1800,False,2.323529411764706,0.0,0.5,0,False,Thresh,263,111,0.5315315315315315,False,1622,False,2.8,4.5,1.0,1,True,Camille,356,69,0.4927536231884058,False,1848,False,1.434782608695652,0.0,0.5,0,False,Talon,261,209,0.49282296650717705,True,1600,False,2.5757575757575757,0.0,0.5,0,True,Malzahar,685,1165,0.5055793991416309,False,1754,False,2.0,0.0,0.5,0,False,Samira,488,282,0.5319148936170213,False,1959,False,3.08,0.0,0.5,0,True,Lulu,311,315,0.49523809523809526,False,1842,False,2.181818181818182,2.181818181818182,0.4,5,False,0.3999999999999986,-0.3999999999999986,3.0,-3.0,-0.20000000000000284,0.20000000000000284,-6.5,6.5,0.7000000000000028,-0.7000000000000028,10674,56804,38387,2481,111674,197609,18447,22710,727317,456432,3.0,3.0,6.0,0.5,29.0,27.0,56.0,0.5178571428571429,45.0,45.0,90.0,0.5,14.0,15.0,29.0,0.4827586206896552,20.0,20.0,40.0,0.5,17.0,24.0,41.0,0.4146341463414634,0.0,0.0,0.0,0.5,50.0,48.0,98.0,0.5102040816326531,1.0,2.0,3.0,0.3333333333333333,107.0,109.0,216.0,0.49537037037037035
EUW1_6083671143,True,Darius,55,269,0.5427509293680297,False,1868,False,2.0238095238095237,0.0,0.5,0,True,MasterYi,45,190,0.5263157894736842,False,1700,False,2.0196078431372553,0.0,0.5,0,True,Gragas,260,38,0.6842105263157895,False,1552,False,1.5555555555555556,2.0,1.0,1,True,Kaisa,524,769,0.48634590377113135,False,1600,False,1.488888888888889,0.0,0.5,0,True,Thresh,635,1752,0.5045662100456622,False,1773,False,4.090909090909091,10.2,1.0,2,False,Pantheon,355,545,0.5302752293577981,False,1833,False,1.28,0.0,0.5,0,False,Zac,100,235,0.5063829787234042,False,1697,False,3.090909090909091,3.090909090909091,0.6,5,False,Viktor,134,370,0.518918918918919,False,1700,False,3.714285714285714,0.0,0.5,0,True,Ezreal,59,312,0.5224358974358975,False,1719,False,1.5945945945945945,0.0,0.5,0,False,Soraka,687,670,0.48208955223880595,False,1660,False,1.4594594594594594,0.0,0.5,0,False,-1.2999999999999972,1.2999999999999972,-1.7000000000000028,1.7000000000000028,-2.6000000000000014,2.6000000000000014,3.1000000000000014,-3.1000000000000014,-0.8999999999999986,0.8999999999999986,5998,74935,18728,68166,42715,15244,168301,44205,94352,325534,4.0,6.0,10.0,0.4,18.0,8.0,26.0,0.6923076923076923,15.0,12.0,27.0,0.5555555555555556,2.0,3.0,5.0,0.4,41.0,34.0,75.0,0.5466666666666666,13.0,16.0,29.0,0.4482758620689655,11.0,9.0,20.0,0.5283018867924528,6.0,4.0,10.0,0.6,41.0,31.0,72.0,0.5694444444444444,28.0,23.0,51.0,0.5490196078431373
EUW1_6140887852,False,KSante,438,582,0.5154639175257731,False,1485,True,3.0000000000000004,0.0,0.5,0,True,Graves,574,360,0.49444444444444446,False,1600,False,1.7872340425531912,0.0,0.5,0,False,Lux,115,85,0.5176470588235295,False,1700,False,3.884615384615384,0.0,0.5,0,True,Lucian,225,152,0.5460526315789473,False,2000,False,2.5675675675675675,0.0,0.5,0,False,Nami,267,133,0.42857142857142855,False,1709,True,5.708333333333333,5.708333333333333,1.0,5,False,Aatrox,344,493,0.5192697768762677,False,1982,True,3.1923076923076925,0.0,0.5,0,False,Kindred,356,315,0.580952380952381,False,1601,True,3.0294117647058827,0.0,0.5,0,False,Vladimir,312,1148,0.5052264808362369,False,1737,False,2.2500000000000004,1.6666666666666667,0.0,1,False,Jinx,728,523,0.4933078393881453,False,1757,False,3.7142857142857144,0.0,0.5,0,False,Lulu,427,338,0.5118343195266272,False,1733,False,2.5416666666666665,0.0,0.5,0,False,0.0,0.0,-1.2000000000000028,1.2000000000000028,0.7000000000000028,-0.7000000000000028,-0.5,0.5,4.200000000000003,-4.200000000000003,4925,24762,87937,8572,9488,26749,27868,197753,152202,141003,2.0,0.0,2.0,1.0,2.0,1.0,3.0,0.6666666666666666,2.0,2.0,4.0,0.5,2.0,2.0,4.0,0.5,30.0,25.0,55.0,0.5454545454545454,10.0,11.0,21.0,0.47619047619047616,0.0,0.0,0.0,0.5,11.0,14.0,25.0,0.44,31.0,25.0,56.0,0.5535714285714286,51.0,53.0,104.0,0.49038461538461536
EUW1_6094761239,False,Sett,71,383,0.5143603133159269,False,1716,False,2.3488372093023258,0.0,0.5,0,True,JarvanIV,604,1693,0.5073833431777909,False,2101,True,3.892857142857143,2.375,1.0,1,False,Viktor,58,250,0.552,False,1913,False,2.3529411764705883,2.3529411764705883,0.8,5,False,Kaisa,125,985,0.5015228426395939,False,1800,False,2.4772727272727266,1.4285714285714286,0.0,1,False,Morgana,347,936,0.5053418803418803,False,1629,False,2.351351351351351,0.0,0.5,0,True,Akali,57,354,0.5141242937853108,False,1698,False,1.3684210526315788,0.0,0.5,0,False,Warwick,591,331,0.552870090634441,False,1877,False,1.9999999999999998,2.388888888888889,0.6666666666666666,3,True,Yone,92,252,0.5158730158730159,False,1772,False,2.5,3.5,1.0,1,False,Caitlyn,715,851,0.49588719153936545,False,2000,False,1.509433962264151,0.0,0.5,0,True,Lux,541,240,0.5166666666666667,False,1675,False,2.138888888888889,0.875,0.0,1,True,3.5,-3.5,-2.3999999999999986,2.3999999999999986,-0.29999999999999716,0.29999999999999716,0.20000000000000284,-0.20000000000000284,-0.8999999999999986,0.8999999999999986,3122,20142,126173,1243639,95025,21664,65354,320388,14820,315849,3.0,2.0,5.0,0.6,109.0,91.0,200.0,0.545,88.0,65.0,153.0,0.5751633986928104,55.0,46.0,101.0,0.5445544554455446,7.0,9.0,16.0,0.4375,18.0,19.0,37.0,0.4864864864864865,100.0,57.0,157.0,0.6369426751592356,5.0,4.0,9.0,0.5555555555555556,23.0,22.0,45.0,0.5111111111111111,16.0,17.0,33.0,0.48484848484848486
EUW1_6116642885,True,Kaisa,392,232,0.5517241379310345,False,1658,False,1.4193548387096775,0.0,0.5,0,False,JarvanIV,230,212,0.5377358490566038,False,1675,False,3.714285714285714,24.0,1.0,1,False,Yone,634,354,0.4915254237288136,False,1714,False,3.0,0.0,0.5,0,False,Twitch,48,157,0.5414012738853503,False,1600,False,2.34375,0.0,0.5,0,False,Yuumi,357,532,0.5037593984962406,False,1700,False,1.7407407407407407,0.0,0.5,0,False,Akshan,76,481,0.525987525987526,False,1714,False,1.709677419354839,1.5263157894736843,0.0,2,True,Skarner,239,301,0.4983388704318937,False,1683,True,3.088235294117647,0.0,0.5,0,False,Syndra,344,565,0.48849557522123893,False,1661,False,2.185185185185185,2.3333333333333335,1.0,1,False,Seraphine,259,159,0.4716981132075472,True,1613,False,3.833333333333333,0.0,0.5,0,True,Karma,275,537,0.527001862197393,False,1600,False,1.9285714285714284,0.0,0.5,0,True,0.7999999999999972,-0.7999999999999972,6.100000000000001,-6.100000000000001,-0.10000000000000142,0.10000000000000142,-0.20000000000000284,0.20000000000000284,-3.5,3.5,5270,200138,73435,2224,48783,11273,6617,8405,54465,5869,0.0,0.0,0.0,0.5,9.0,6.0,15.0,0.6,4.0,8.0,12.0,0.3333333333333333,3.0,0.0,3.0,1.0,6.0,12.0,18.0,0.3333333333333333,135.0,129.0,264.0,0.5113636363636364,0.0,1.0,1.0,0.0,8.0,4.0,12.0,0.6666666666666666,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5
EUW1_6132729942,False,Blitzcrank,298,55,0.4727272727272727,False,1063,False,1.636363636363636,0.0,0.5,0,False,Khazix,446,177,0.4915254237288136,False,1071,False,2.1176470588235294,0.0,0.5,0,True,Malzahar,235,514,0.5058365758754864,False,1213,False,2.888888888888889,0.0,0.5,0,True,Varus,441,529,0.497164461247637,False,1218,False,2.5483870967741935,3.5454545454545454,0.5,2,False,Lux,771,392,0.47959183673469385,True,1300,False,3.0,0.0,0.5,0,False,Zac,245,614,0.5,False,1271,False,4.041666666666667,0.0,0.5,0,True,Evelynn,634,741,0.4966261808367072,False,1259,False,2.054054054054054,0.0,0.5,0,True,Vex,47,174,0.4885057471264368,False,1243,False,2.2972972972972974,2.4,0.0,1,True,Kaisa,269,291,0.5017182130584192,True,1244,False,2.4749999999999996,0.0,0.5,0,False,Alistar,433,542,0.507380073800738,False,1278,False,2.6428571428571432,2.6428571428571432,0.6,5,False,-2.700000000000003,2.700000000000003,1.2000000000000028,-1.2000000000000028,0.6000000000000014,-0.6000000000000014,-0.10000000000000142,0.10000000000000142,2.299999999999997,-2.299999999999997,10456,695774,61215,73314,12380,13041,94299,78617,309640,32236,2.0,0.0,2.0,1.0,2.0,1.0,3.0,0.6666666666666666,2.0,5.0,7.0,0.2857142857142857,11.0,8.0,19.0,0.5789473684210527,88.0,74.0,162.0,0.5432098765432098,233.0,199.0,432.0,0.5393518518518519,21.0,15.0,36.0,0.5833333333333334,8.0,8.0,16.0,0.5,6.0,8.0,14.0,0.42857142857142855,11.0,6.0,17.0,0.6470588235294118
EUW1_6140619989,False,Sett,183,110,0.4636363636363636,False,1851,False,1.6956521739130437,0.0,0.5,0,True,Rammus,285,378,0.5238095238095238,False,2200,False,2.7199999999999998,0.0,0.5,0,True,Azir,193,106,0.5377358490566038,False,1661,False,3.888888888888889,0.0,0.5,0,True,KogMaw,159,41,0.5853658536585366,False,1423,False,1.4545454545454546,0.0,0.5,0,True,Renata,198,22,0.5,False,736,False,1.9310344827586206,0.0,0.5,0,False,Garen,399,577,0.5060658578856152,True,1890,False,2.5909090909090904,0.0,0.5,0,False,Zac,240,504,0.5138888888888888,False,1931,False,3.5555555555555554,6.0,0.0,1,True,Sylas,530,424,0.5047169811320755,False,1839,False,1.9062499999999998,0.0,0.5,0,True,Varus,507,137,0.5036496350364964,False,1701,True,3.0,3.6666666666666665,1.0,1,False,Heimerdinger,390,168,0.5357142857142857,False,1759,False,2.269230769230769,2.2,0.0,1,False,0.6000000000000014,-0.6000000000000014,-3.6000000000000014,3.6000000000000014,-4.600000000000001,4.600000000000001,2.200000000000003,-2.200000000000003,-4.200000000000003,4.200000000000003,3733,99028,18264,31666,10675,64261,67138,23520,1993,7996,12.0,10.0,22.0,0.525949975949976,6.0,1.0,7.0,0.8571428571428571,13.0,11.0,24.0,0.5294117647058824,0.0,0.0,0.0,0.5,12.0,11.0,22.0,0.5263157894736842,4.0,5.0,9.0,0.4444444444444444,16.0,10.0,26.0,0.6153846153846154,8.0,7.0,15.0,0.5333333333333333,1.0,0.0,1.0,1.0,11.0,9.0,20.0,0.5236051502145923
